#          date               total        used        free      shared  buff/cache   available 
Sep 23 01:55:22 Mem:         257844      244442        1574           0       11827       11327
Sep 23 01:55:23 Mem:         257844      244681        1336           0       11826       11089
Sep 23 01:55:24 Mem:         257844      244918        1613           0       11312       10851
Sep 23 01:55:25 Mem:         257844      245150        1381           0       11312       10619
Sep 23 01:55:26 Mem:         257844      245407        1617           0       10820       10362
Sep 23 01:55:27 Mem:         257844      245642        1381           0       10820       10127
Sep 23 01:55:28 Mem:         257844      245995        1499           0       10350        9775
Sep 23 01:55:29 Mem:         257844      246365        1622           0        9857        9404
Sep 23 01:55:30 Mem:         257844      246429        1558           0        9857        9341
Sep 23 01:55:31 Mem:         257844      246513        1473           0        9857        9257
Sep 23 01:55:32 Mem:         257844      246654        1391           0        9798        9115
Sep 23 01:55:33 Mem:         257844      246762        1692           0        9389        9007
Sep 23 01:55:34 Mem:         257844      246768        1687           0        9389        9002
Sep 23 01:55:35 Mem:         257844      247065        1389           0        9389        8704
Sep 23 01:55:36 Mem:         257844      247282        1666           0        8895        8487
Sep 23 01:55:37 Mem:         257844      247531        1417           0        8895        8239
Sep 23 01:55:38 Mem:         257844      247819        1595           0        8429        7950
Sep 23 01:55:39 Mem:         257844      248117        1740           0        7987        7653
Sep 23 01:55:40 Mem:         257844      248402        1454           0        7988        7367
Sep 23 01:55:41 Mem:         257844      248662        1611           0        7570        7107
Sep 23 01:55:42 Mem:         257844      248973        1730           0        7140        6796
Sep 23 01:55:43 Mem:         257844      249279        1425           0        7140        6491
Sep 23 01:55:44 Mem:         257844      249594        1526           0        6723        6176
Sep 23 01:55:45 Mem:         257844      249950        1561           0        6333        5820
Sep 23 01:55:46 Mem:         257844      250224        1653           0        5966        5546
Sep 23 01:55:47 Mem:         257844      250286        1591           0        5966        5483
Sep 23 01:55:48 Mem:         257844      250365        1512           0        5966        5405
Sep 23 01:55:49 Mem:         257844      250458        1419           0        5966        5311
Sep 23 01:55:50 Mem:         257844      250516        1361           0        5966        5253
Sep 23 01:55:52 Mem:         257844      250552        1662           0        5630        5218
Sep 23 01:55:53 Mem:         257844      250702        1519           0        5622        5067
Sep 23 01:55:54 Mem:         257844      250857        1364           0        5622        4912
Sep 23 01:55:55 Mem:         257844      251037        1508           0        5298        4732
Sep 23 01:55:56 Mem:         257844      251238        1653           0        4952        4531
Sep 23 01:55:57 Mem:         257844      251412        1479           0        4953        4357
Sep 23 01:55:58 Mem:         257844      251619        1593           0        4631        4150
Sep 23 01:55:59 Mem:         257844      251800        1413           0        4631        3970
Sep 23 01:56:00 Mem:         257844      251979        1534           0        4331        3791
Sep 23 01:56:01 Mem:         257844      252139        1372           0        4332        3630
Sep 23 01:56:02 Mem:         257844      252286        1586           0        3971        3483
Sep 23 01:56:03 Mem:         257844      252416        1495           0        3933        3354
Sep 23 01:56:04 Mem:         257844      252538        1373           0        3933        3231
Sep 23 01:56:05 Mem:         257844      252652        1558           0        3633        3117
Sep 23 01:56:06 Mem:         257844      252763        1447           0        3633        3006
Sep 23 01:56:07 Mem:         257844      252867        1343           0        3633        2902
Sep 23 01:56:08 Mem:         257844      252962        1553           0        3329        2808
Sep 23 01:56:09 Mem:         257844      253118        1396           0        3330        2652
Sep 23 01:56:10 Mem:         257844      253183        1620           0        3040        2586
Sep 23 01:56:11 Mem:         257844      253253        1550           0        3040        2517
Sep 23 01:56:12 Mem:         257844      253322        1481           0        3040        2448
Sep 23 01:56:13 Mem:         257844      253385        1418           0        3040        2384
Sep 23 01:56:14 Mem:         257844      253414        1389           0        3040        2356
Sep 23 01:56:15 Mem:         257844      253439        1364           0        3040        2330
Sep 23 01:56:16 Mem:         257844      253462        1341           0        3040        2308
Sep 23 01:56:17 Mem:         257844      253482        1590           0        2771        2287
Sep 23 01:56:19 Mem:         257844      253509        1563           0        2772        2261
